route_id,route_short_name,route_long_name,route_corridor_name,service_type,route_display_name,is_special_route,delay_risk,recommended_action,records,share_pct
30-202,30,30,30 - Onehunga / City Centre Via Manukau Rd,Bus,30,False,Low,No operational action required,24514,0.7343
30-202,30,30,30 - Onehunga / City Centre Via Manukau Rd,Bus,30,False,Medium,Monitor route conditions,9461,0.2834
30-202,30,30,30 - Onehunga / City Centre Via Manukau Rd,Bus,30,False,High,Adjust service headway,352,0.0105
30-202,30,30,30 - Onehunga / City Centre Via Manukau Rd,Bus,30,False,Severe,Deploy standby bus or supervisor review,13,0.0004
309-203,309,309,309 - Mangere Town Centre / City Centre,Bus,309,False,Low,No operational action required,12734,0.3814
309-203,309,309,309 - Mangere Town Centre / City Centre,Bus,309,False,Medium,Monitor route conditions,9903,0.2966
309-203,309,309,309 - Mangere Town Centre / City Centre,Bus,309,False,High,Adjust service headway,2042,0.0612
309-203,309,309,309 - Mangere Town Centre / City Centre,Bus,309,False,Severe,Deploy standby bus or supervisor review,583,0.0175
309X-203,309X,309X,309X - Stop E The Civic / Mangere,Bus,309X,False,Low,No operational action required,268,0.008
309X-203,309X,309X,309X - Stop E The Civic / Mangere,Bus,309X,False,Medium,Monitor route conditions,363,0.0109
309X-203,309X,309X,309X - Stop E The Civic / Mangere,Bus,309X,False,High,Adjust service headway,127,0.0038
31-203,31,31,31 - Mangere Town Centre / Botany Town Centre Via Otara,Bus,31,False,Low,No operational action required,21297,0.6379
31-203,31,31,31 - Mangere Town Centre / Botany Town Centre Via Otara,Bus,31,False,Medium,Monitor route conditions,7959,0.2384
31-203,31,31,31 - Mangere Town Centre / Botany Town Centre Via Otara,Bus,31,False,High,Adjust service headway,166,0.005
31-203,31,31,31 - Mangere Town Centre / Botany Town Centre Via Otara,Bus,31,False,Severe,Deploy standby bus or supervisor review,21,0.0006
311-203,311,311,311 - Otahuhu Station / Otahuhu Station via Mangere Bridge,Bus,311,False,Low,No operational action required,3377,0.1012
311-203,311,311,311 - Otahuhu Station / Otahuhu Station via Mangere Bridge,Bus,311,False,Medium,Monitor route conditions,6500,0.1947
311-203,311,311,311 - Otahuhu Station / Otahuhu Station via Mangere Bridge,Bus,311,False,High,Adjust service headway,272,0.0081
311-203,311,311,311 - Otahuhu Station / Otahuhu Station via Mangere Bridge,Bus,311,False,Severe,Deploy standby bus or supervisor review,14,0.0004
313-203,313,313,313 - Mangere / Manukau Bus Station Via Papatoetoe,Bus,313,False,Low,No operational action required,7556,0.2263
313-203,313,313,313 - Mangere / Manukau Bus Station Via Papatoetoe,Bus,313,False,Medium,Monitor route conditions,2853,0.0855
313-203,313,313,313 - Mangere / Manukau Bus Station Via Papatoetoe,Bus,313,False,High,Adjust service headway,61,0.0018
313-203,313,313,313 - Mangere / Manukau Bus Station Via Papatoetoe,Bus,313,False,Severe,Deploy standby bus or supervisor review,26,0.0008
314-203,314,314,314 - Ormiston / Middlemore Station Via Otara,Bus,314,False,Low,No operational action required,9853,0.2951
314-203,314,314,314 - Ormiston / Middlemore Station Via Otara,Bus,314,False,Medium,Monitor route conditions,2347,0.0703
314-203,314,314,314 - Ormiston / Middlemore Station Via Otara,Bus,314,False,High,Adjust service headway,145,0.0043
314-203,314,314,314 - Ormiston / Middlemore Station Via Otara,Bus,314,False,Severe,Deploy standby bus or supervisor review,34,0.001
32-203,32,32,32 - Mangere Town Centre / Sylvia Park via Otahuhu,Bus,32,False,Low,No operational action required,20579,0.6164
