route_id,route_short_name,route_display_name,route_corridor_name,service_type,is_special_route,ai_delay_risk,ai_recommended_action,ai_confidence_band,records,share_pct
25B-202,25B,25B,25B - Blockhouse Bay / City Centre Via Dominion Rd,Bus,False,Low,No operational action required,Low action probability,9981,0.299
25B-202,25B,25B,25B - Blockhouse Bay / City Centre Via Dominion Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,22935,0.687
25L-202,25L,25L,25L - Lynfield / City Centre Via Dominion Rd,Bus,False,Low,No operational action required,Low action probability,10711,0.3208
25L-202,25L,25L,25L - Lynfield / City Centre Via Dominion Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,22934,0.687
27H-202,27H,27H,27H - Britomart / Waikowhai Via Mt Eden Rd And Hillsborough Rd,Bus,False,Low,No operational action required,Low action probability,853,0.0256
27H-202,27H,27H,27H - Britomart / Waikowhai Via Mt Eden Rd And Hillsborough Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,15964,0.4782
27H-202,27H,27H,27H - Britomart / Waikowhai Via Mt Eden Rd And Hillsborough Rd,Bus,False,High,Adjust service headway,High action probability,5772,0.1729
27T-202,27T,27T,27T - Britomart / Three Kings Via Mt Eden Rd,Bus,False,Low,No operational action required,Low action probability,243,0.0073
27T-202,27T,27T,27T - Britomart / Three Kings Via Mt Eden Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,1058,0.0317
27W-202,27W,27W,27W - Britomart / Waikowhai Via Mt Eden Rd,Bus,False,Low,No operational action required,Low action probability,2968,0.0889
27W-202,27W,27W,27W - Britomart / Waikowhai Via Mt Eden Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,19686,0.5897
295-202,295,295,295 - Ellerslie Station / City Centre Via Royal Oak,Bus,False,Low,No operational action required,Low action probability,2685,0.0804
295-202,295,295,295 - Ellerslie Station / City Centre Via Royal Oak,Bus,False,Medium,Monitor route conditions,Moderate action probability,15943,0.4776
298-221,298,298,298 - Onehunga / Sylvia Park Via Ellerslie,Bus,False,Low,No operational action required,Low action probability,9239,0.2768
298-221,298,298,298 - Onehunga / Sylvia Park Via Ellerslie,Bus,False,Medium,Monitor route conditions,Moderate action probability,4961,0.1486
30-202,30,30,30 - Onehunga / City Centre Via Manukau Rd,Bus,False,Low,No operational action required,Low action probability,12926,0.3872
30-202,30,30,30 - Onehunga / City Centre Via Manukau Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,21414,0.6414
309-203,309,309,309 - Mangere Town Centre / City Centre,Bus,False,Low,No operational action required,Low action probability,374,0.0112
309-203,309,309,309 - Mangere Town Centre / City Centre,Bus,False,Medium,Monitor route conditions,Moderate action probability,10873,0.3257
309-203,309,309,309 - Mangere Town Centre / City Centre,Bus,False,High,Adjust service headway,High action probability,14015,0.4198
309X-203,309X,309X,309X - Stop E The Civic / Mangere,Bus,False,Low,No operational action required,Low action probability,157,0.0047
309X-203,309X,309X,309X - Stop E The Civic / Mangere,Bus,False,Medium,Monitor route conditions,Moderate action probability,601,0.018
31-203,31,31,31 - Mangere Town Centre / Botany Town Centre Via Otara,Bus,False,Low,No operational action required,Low action probability,10387,0.3111
31-203,31,31,31 - Mangere Town Centre / Botany Town Centre Via Otara,Bus,False,Medium,Monitor route conditions,Moderate action probability,19056,0.5708
311-203,311,311,311 - Otahuhu Station / Otahuhu Station via Mangere Bridge,Bus,False,Low,No operational action required,Low action probability,152,0.0046
311-203,311,311,311 - Otahuhu Station / Otahuhu Station via Mangere Bridge,Bus,False,Medium,Monitor route conditions,Moderate action probability,1182,0.0354
311-203,311,311,311 - Otahuhu Station / Otahuhu Station via Mangere Bridge,Bus,False,High,Adjust service headway,High action probability,5555,0.1664
311-203,311,311,311 - Otahuhu Station / Otahuhu Station via Mangere Bridge,Bus,False,Severe,Deploy standby bus or supervisor review,Severe action probability,3274,0.0981
313-203,313,313,313 - Mangere / Manukau Bus Station Via Papatoetoe,Bus,False,Low,No operational action required,Low action probability,3785,0.1134
313-203,313,313,313 - Mangere / Manukau Bus Station Via Papatoetoe,Bus,False,Medium,Monitor route conditions,Moderate action probability,6711,0.201
