service_type,route_display_name,route_corridor_name,route_id,is_special_route,delay_risk,recommended_action,records,unique_trips,avg_delay_minutes,max_delay_minutes
Unknown / unmatched route,S424-221,S424-221,S424-221,true,Medium,Monitor route conditions,45,2,7.321,11.217
Unknown / unmatched route,S074D-203,S074D-203,S074D-203,true,Low,No operational action required,45,3,-3.011,2.05
Unknown / unmatched route,S410-205,S410-205,S410-205,true,High,Adjust service headway,44,1,19.563,22.183
Unknown / unmatched route,S047C-221,S047C-221,S047C-221,true,Medium,Monitor route conditions,44,1,-2.314,13.017
Unknown / unmatched route,S061G-203,S061G-203,S061G-203,true,Medium,Monitor route conditions,44,1,6.954,9.667
Bus,373,373 - Red Hill / Papakura Shops,373-203,false,High,Adjust service headway,44,4,19.893,23.35
Bus,326,326 - Mangere Town Centre / Middlemore via Earlsworth Rd (C),326-203,false,High,Adjust service headway,44,7,-2.891,22.3
Bus,20,20 - St Lukes / Wynyard Quarter Via Kingsland,20-202,false,Severe,Deploy standby bus or supervisor review,44,4,38.542,73.1
Unknown / unmatched route,S457-203,S457-203,S457-203,true,High,Adjust service headway,43,1,-17.472,-15.283
Unknown / unmatched route,S053-203,S053-203,S053-203,true,Severe,Deploy standby bus or supervisor review,43,1,-26.156,-25.017
Unknown / unmatched route,S028F-203,S028F-203,S028F-203,true,Medium,Monitor route conditions,43,1,7.07,9.433
Unknown / unmatched route,S094-217,S094-217,S094-217,true,Medium,Monitor route conditions,43,2,4.65,9.833
Unknown / unmatched route,S510-202,S510-202,S510-202,true,High,Adjust service headway,43,2,-17.976,-15.333
Unknown / unmatched route,S433-221,S433-221,S433-221,true,Medium,Monitor route conditions,42,1,1.481,13.217
Unknown / unmatched route,S012G-203,S012G-203,S012G-203,true,Medium,Monitor route conditions,42,1,-0.583,14.217
Bus,802,802 - Bayswater / City (Mayoral Dr),802-202,false,High,Adjust service headway,42,4,19.739,23.167
Bus,999,999 - Warkworth Loop,999-203,false,Severe,Deploy standby bus or supervisor review,42,4,40.494,60.783
Bus,27W,27W - Britomart / Waikowhai Via Mt Eden Rd,27W-202,false,Severe,Deploy standby bus or supervisor review,42,6,41.846,67.217
Bus,143,143 - Ranui / Henderson via Sturges Rd,143-203,false,High,Adjust service headway,42,8,16.933,24.467
Bus,363,363 - Manurewa Interchange / Wattle Downs Loop,363-203,false,Severe,Deploy standby bus or supervisor review,42,5,8.848,62.167
Bus,982,982 - Gulf Harbour / Hibiscus Coast Station,982-221,false,Severe,Deploy standby bus or supervisor review,42,6,35.317,61.033
Bus,981,981 - Waiwera / Hibiscus Coast Station,981-221,false,Severe,Deploy standby bus or supervisor review,42,5,31.446,59.183
Bus,917,917 - Birkenhead Wharf / Albany Station Via Glenfield Rd,917-203,false,Severe,Deploy standby bus or supervisor review,41,7,39.108,70.883
Unknown / unmatched route,S009C-203,S009C-203,S009C-203,true,Medium,Monitor route conditions,41,1,6.417,8.517
Bus,323,323 - Otahuhu Station / Panmure Via Panama Rd,323-221,false,High,Adjust service headway,40,6,16.012,19.1
Bus,83,83 - Massey University / Takapuna Via Browns Bay,83-203,false,Severe,Deploy standby bus or supervisor review,40,5,33.455,48.35
Unknown / unmatched route,S449-202,S449-202,S449-202,true,Medium,Monitor route conditions,40,1,-8.158,9.75
Bus,502,502 - Rocky Bay / Matiatia Wharf,502-217,false,Severe,Deploy standby bus or supervisor review,40,5,39.773,102.35
Bus,RBE,RBE - Manukau / Britomart Eastern Rail Bus (New),RBE-402,false,Severe,Deploy standby bus or supervisor review,40,5,40.711,60.25
Bus,379,379 - Clarks Beach / Papakura,379-203,false,Severe,Deploy standby bus or supervisor review,39,5,52.104,81.767
Unknown / unmatched route,S026-203,S026-203,S026-203,true,Medium,Monitor route conditions,39,1,2.958,12.283
Unknown / unmatched route,S059B-203,S059B-203,S059B-203,true,Medium,Monitor route conditions,39,1,7.497,14.25
Bus,149,149 - Ranui / New Lynn Via Rosebank,149-203,false,Severe,Deploy standby bus or supervisor review,39,3,32.103,38.317
Bus,22R,22R - Rosebank Rd / City Centre Via New North Rd,22R-202,false,Severe,Deploy standby bus or supervisor review,38,4,75.541,84.467
Unknown / unmatched route,S459-203,S459-203,S459-203,true,High,Adjust service headway,38,3,19.087,24.317
Unknown / unmatched route,S027-202,S027-202,S027-202,true,Medium,Monitor route conditions,38,2,-1.095,12.167
Unknown / unmatched route,S463-203,S463-203,S463-203,true,High,Adjust service headway,38,2,16.5,17.933
Bus,843,843 - Akoranga Station / Constellation Station Via Takapuna,843-202,false,Severe,Deploy standby bus or supervisor review,37,4,56.706,85.167
Bus,152,152 - Henderson / New Lynn via Sunnyvale and Glen Eden,152-203,false,High,Adjust service headway,37,4,21.465,24.567
Bus,843,843 - Akoranga Station / Constellation Station Via Takapuna,843-202,false,High,Adjust service headway,37,11,17.421,22.333
Bus,939,939 - University of Auckland / Windy Ridge Via Customs St,939-203,false,Severe,Deploy standby bus or supervisor review,36,4,42.517,80.083
Unknown / unmatched route,S037-203,S037-203,S037-203,true,Low,No operational action required,36,1,-2.375,0.633
Bus,RBN,RBN - Westfield Newmarket / Britomart Rail Bus,RBN-402,false,Medium,Monitor route conditions,36,5,5.644,8.4
Unknown / unmatched route,S481-202,S481-202,S481-202,true,Medium,Monitor route conditions,36,1,8.932,12.883
Unknown / unmatched route,S096-217,S096-217,S096-217,true,High,Adjust service headway,36,1,-15.832,-15.167
Unknown / unmatched route,S023-202,S023-202,S023-202,true,Medium,Monitor route conditions,36,1,8.189,10.833
Bus,373,373 - Red Hill / Papakura Shops,373-203,false,Severe,Deploy standby bus or supervisor review,36,5,30.119,53.283
Unknown / unmatched route,S073A-202,S073A-202,S073A-202,true,Medium,Monitor route conditions,35,1,7.614,14.233
Bus,123,123 - Huapai Triangle / Westgate Via Kumeu,123-202,false,High,Adjust service headway,35,5,17.51,23.283
Bus,377,377 - Papakura Interchange / Park Estate Loop,377-203,false,Severe,Deploy standby bus or supervisor review,35,6,14.509,59.65
Unknown / unmatched route,S548-202,S548-202,S548-202,true,Medium,Monitor route conditions,35,1,-5.721,-5.117
Bus,24R,24R - New Lynn / City Centre Via Sandingham Rd,24R-202,false,Severe,Deploy standby bus or supervisor review,35,7,53.38,72.55
Unknown / unmatched route,S439-221,S439-221,S439-221,true,Medium,Monitor route conditions,35,1,-3.672,7.85
Unknown / unmatched route,S015A-203,S015A-203,S015A-203,true,Low,No operational action required,35,1,-2.518,2.45
Unknown / unmatched route,S550-202,S550-202,S550-202,true,Medium,Monitor route conditions,34,1,-6.42,-5.583
Bus,313,313 - Mangere / Manukau Bus Station Via Papatoetoe,313-203,false,Severe,Deploy standby bus or supervisor review,34,5,22.2,68.983
Unknown / unmatched route,S033-203,S033-203,S033-203,true,Medium,Monitor route conditions,34,1,3.117,13.717
Bus,31,31 - Mangere Town Centre / Botany Town Centre Via Otara,31-203,false,Severe,Deploy standby bus or supervisor review,34,9,23.827,58.633
Bus,WX1,WX1 - City Centre / Northwest Via Motorway,WX1-207,false,Severe,Deploy standby bus or supervisor review,34,7,32.632,39.283
Unknown / unmatched route,S004F-203,S004F-203,S004F-203,true,Medium,Monitor route conditions,34,1,6.251,7.717
Bus,805,805 - Devonport Wharf / Belmont Shops Via Ngataringa Rd,805-202,false,High,Adjust service headway,33,4,17.452,24.417
Unknown / unmatched route,S019-218,S019-218,S019-218,true,Medium,Monitor route conditions,32,1,6.383,9.433
Unknown / unmatched route,S050B-203,S050B-203,S050B-203,true,High,Adjust service headway,32,5,-3.604,23.733
Unknown / unmatched route,S030-203,S030-203,S030-203,true,High,Adjust service headway,32,1,23.707,24.417
Unknown / unmatched route,S016-202,S016-202,S016-202,true,Medium,Monitor route conditions,32,1,1.793,7.417
Unknown / unmatched route,S012D-203,S012D-203,S012D-203,true,Medium,Monitor route conditions,32,1,1.404,9.55
Unknown / unmatched route,S022C-203,S022C-203,S022C-203,true,Medium,Monitor route conditions,32,2,-1.303,11.617
